	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G57560	10.43845	-0.019181	0	0.98146025	0.999999999	0
AT5G49910	9.09098	0.842003	1.41344	0.08854897	0.334467364	0
AT5G57350	8.48349	-0.178558	0	0.74107416	0.949460566	0
AT5G12860	9.79986	-0.039691	0	0.94868955	0.999999999	0
AT5G22640	8.87241	-0.054121	0	0.92088339	0.999999999	0
AT5G54940	8.04335	-1.282434	-2.0156	0.02996958	0.170686139	0
AT5G63160	9.31338	0.804789	1.66448	0.05596392	0.258213289	0
AT5G51550	8.23157	0.438021	0.20439	0.51772632	0.807967254	0
AT5G13630	11.94135	-0.507362	-1.77796	0.04503935	0.223358418	0
AT5G19250	8.31522	0.684919	0.65549	0.30143852	0.631461721	0
AT5G19240	9.3207	0.734969	1.30865	0.10402676	0.365941293	0
AT5G24490	8.95686	1.856787	2.48789	0.01172675	0.097145422	1
AT5G19220	8.81296	-0.439562	-0.40666	0.35204769	0.671881037	0
AT5G42020	8.24238	-0.554953	-0.54738	0.3210738	0.64302967	0
AT5G66190	11.09282	0.092361	0	0.9199346	0.999999999	0
AT5G13510	8.63876	-0.043946	0	0.93617988	0.999999999	0
AT5G38430	13.79296	0.474892	1.56351	0.06653272	0.28699619	0
AT5G38420	14.33318	0.178561	0	0.98066493	0.999999999	0
AT5G35970	8.4273	-1.086851	-2.00483	0.02979297	0.170686139	0
AT5G28840	8.98069	0.672336	1.01608	0.16513583	0.466604719	0
AT5G42270	10.23444	0.952022	2.77359	0.0057417	0.055809336	1
AT5G46730	8.3397	0.801791	0.8237	0.24351121	0.561771106	0
AT5G23060	9.10406	-0.20845	0	0.69119715	0.928066939	0
