rank	gene	score
4457	ADGRL2	2.497242746348134e-05
4458	XPO4	2.4971618452568676e-05
4459	MMP10	2.495525570743707e-05
4460	PRMT6	2.4951518945397565e-05
4461	DAPP1	2.49437245489007e-05
4462	GPSM2	2.489441018066156e-05
4463	LDB3	2.4894086243065118e-05
4464	PPP1R26	2.4883950874612422e-05
4465	ARFGAP3	2.4881665843059533e-05
4466	TRIM13	2.487853714544006e-05
4467	MRNIP	2.4866183755223218e-05
4468	JDP2	2.485992817592255e-05
4469	TAB3	2.4844485833779116e-05
4470	CD109	2.4844322322733016e-05
4471	ICAM2	2.4820447022928097e-05
4472	RBBP6	2.481783949171149e-05
4473	TLE5	2.4815831412917705e-05
4474	FOXL1	2.480678278363376e-05
4475	MTIF2	2.480165769169134e-05
4476	PPP2R3C	2.4789508172991774e-05
4477	ATXN7	2.478540728089041e-05
4478	HOXC8	2.477280307582499e-05
4479	NUCB1	2.4765176683992734e-05
4480	MED10	2.476004729291449e-05
4481	TMC6	2.4748870293913715e-05
4482	PDE3A	2.473501389606483e-05
4483	RNH1	2.4733833424525595e-05
4484	PRLR	2.4723060896806756e-05
